digit,count,avg_edges,std_edges,avg_contours,std_contours,avg_perimeter,std_perimeter,avg_area,std_area
0,839,23.185935637663885,33.43260336658115,0.47794994040524436,0.7928029016590562,15.744524157374068,32.877848028350186,11.584028605482718,29.159671523614485
1,72,110.18055555555556,16.439557973316216,1.1111111111111112,0.35572912430182496,133.4500373121765,54.77619794323597,141.54166666666666,104.54912289073602
2,61,161.9672131147541,7.748013416702489,1.0655737704918034,0.24753555525477874,170.99222643648991,49.83133609566775,287.827868852459,117.13281956842147
3,73,160.86301369863014,8.106001613033227,1.095890410958904,0.29444089397540646,178.70080288468975,54.40407959293164,266.32876712328766,125.4893768133405
4,55,130.3090909090909,7.172859775248077,1.1090909090909091,0.3117532399905863,114.22435702410611,44.556045882074166,263.6545454545454,106.7962321742278
5,68,161.9264705882353,8.699756887189077,1.0735294117647058,0.2610035198426301,192.0597782029825,64.11217535833588,249.81617647058823,140.49609855405248
6,68,162.64705882352942,9.9110228383564,1.0735294117647058,0.2610035198426301,128.22149446606636,48.2714334016118,373.2867647058824,112.77682660433675
7,95,108.93684210526315,26.200767576669357,1.0210526315789474,0.40985099650382695,125.29722631103114,59.060693663132184,148.71052631578948,107.76510955112093
8,56,164.46428571428572,10.250373313261546,1.2857142857142858,0.6468132241526726,127.47704112529755,67.0032256135566,373.8125,158.82665647817345
9,71,163.11267605633802,8.617946057337164,1.1126760563380282,0.3161963988823049,136.26760256122535,54.61935716450296,366.98591549295776,131.33906694450064
